T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
215117, 596, 843, 32, 2030, -7350, 3710
215137, 606, 862, 34, 4900, -9940, 8120
215157, 610, 876, 38, 3290, -5320, 3710
215177, 603, 869, 38, 1260, 630, -4900
215197, 582, 835, 35, 4130, 2170, 4830
215217, 562, 795, 36, 3570, 4480, 17780
215237, 553, 778, 36, 3640, 5950, 21420
215257, 557, 784, 38, 6300, 4270, 13440
215277, 572, 806, 34, 8400, 2870, 280
215297, 581, 829, 37, 7070, 5390, -9520
215317, 590, 847, 38, 5950, 7840, -12740
215337, 587, 847, 37, 7490, 7140, -6510
215357, 577, 824, 37, 7910, 6930, 9380
215377, 561, 793, 40, 5670, 9170, 24010
215397, 564, 787, 37, 5460, 9520, 21770
215417, 576, 813, 37, 7770, 7910, 2800
215437, 597, 855, 36, 8680, 7770, -15680
215457, 604, 872, 40, 8470, 7910, -18690
215477, 603, 871, 36, 10430, 5250, -7070
215497, 590, 843, 34, 10010, 5530, 11060
215517, 569, 806, 38, 5110, 10780, 24990
215537, 556, 781, 42, 2520, 12880, 26110
215557, 555, 779, 37, 5670, 7910, 13090
215577, 564, 799, 38, 9380, 2170, -6090
215597, 579, 827, 37, 8190, 1890, -16940
215617, 591, 853, 39, 5250, 3290, -13160
215637, 593, 855, 40, 3780, 2310, 700
215657, 585, 831, 36, 2380, 1680, 14420
215677, 569, 805, 39, -70, 2730, 17570
215697, 561, 792, 37, 0, 1260, 7700
215717, 560, 794, 39, 1750, -2450, -5390
215737, 565, 803, 39, 0, -2590, -11200
215757, 571, 817, 41, -3850, -980, -8330
215777, 585, 835, 40, -5250, -1750, -1960
215797, 597, 848, 38, -3780, -5250, 1330
215817, 600, 854, 37, -3500, -6720, 0
215837, 595, 849, 36, -4270, -6020, -5320
215857, 585, 836, 36, -4970, -4830, -10080
215877, 569, 815, 39, -6160, -3220, -7770
215897, 554, 784, 40, -7630, -1960, 2310
215917, 545, 766, 40, -7560, -3220, 12110
215937, 546, 765, 39, -4410, -8050, 11480
215957, 559, 783, 36, -1960, -11480, 1540
215977, 574, 815, 36, -3150, -10220, -11270
215997, 594, 850, 38, -5530, -7070, -20370
216017, 613, 886, 37, -5110, -6580, -21210
216037, 622, 901, 37, -1960, -8610, -13930
216057, 614, 884, 36, 560, -9450, -980
216077, 592, 843, 35, 2170, -8890, 10780
216097, 571, 803, 32, 840, -4900, 15540
216117, 556, 784, 38, -3290, 2380, 11830
216137, 556, 792, 43, -4970, 6650, 1750
216157, 570, 813, 37, -490, 2940, -6370
216177, 589, 842, 33, 7000, -5110, -7420
216197, 597, 849, 34, 9730, -7630, -1190
216217, 591, 843, 36, 6160, -1680, 6370
216237, 574, 820, 38, 2520, 4690, 8890
216257, 555, 788, 38, 1260, 7910, 10780
216277, 541, 766, 41, 3500, 6090, 11900
216297, 540, 757, 39, 6930, 2030, 10640
216317, 547, 772, 37, 10710, -2450, 6510
216337, 561, 791, 38, 11620, -3500, 1680
216357, 574, 818, 40, 8750, -350, -210
216377, 595, 848, 39, 7210, 1260, -1260
216397, 617, 885, 35, 9170, -420, -3080
216417, 626, 905, 37, 12110, -1960, -5670
216437, 620, 894, 37, 12670, -140, -3710
216457, 602, 861, 38, 11900, 2800, 5320
216477, 579, 820, 36, 11830, 4690, 14980
216497, 555, 787, 41, 9240, 9170, 20790
216517, 553, 780, 43, 6790, 12740, 19320
216537, 563, 795, 39, 8820, 10010, 12530
216557, 580, 825, 35, 13370, 3920, 3150
216577, 589, 843, 37, 14280, 2030, -5180
216597, 594, 852, 37, 9590, 6860, -5040
216617, 592, 846, 37, 5670, 10710, 2380
216637, 583, 835, 39, 5180, 10430, 10570
216657, 572, 816, 40, 5810, 9100, 14350
216677, 562, 797, 38, 6230, 7910, 14000
216697, 558, 787, 37, 7210, 5320, 10220
216717, 554, 781, 38, 7490, 3220, 4970
216737, 557, 792, 45, 3430, 5950, 2660
216757, 564, 805, 44, -350, 8050, 770
216777, 569, 814, 38, 1890, 2940, -910
216797, 570, 808, 39, 5670, -4130, 0
216817, 567, 802, 40, 4270, -5390, 3150
216837, 569, 808, 38, 980, -3780, 1960
216857, 574, 820, 40, -280, -3640, -4340
216877, 586, 838, 42, -3430, -1750, -6930
216897, 598, 852, 41, -5740, -1120, -5600
216917, 604, 862, 36, -2170, -6510, -6790
216937, 595, 853, 33, 2520, -12320, -10360
216957, 581, 829, 39, -280, -9450, -8190
216977, 575, 816, 40, -7910, -980, 420
216997, 579, 822, 42, -11060, 2170, 4550
217017, 588, 840, 40, -6510, -2800, -2660
217037, 596, 852, 41, -4200, -5530, -5390
217057, 595, 849, 36, -1470, -8470, -6370
217077, 587, 839, 34, -3290, -5390, -3010
217097, 568, 808, 40, -10850, 4060, 6020
217117, 551, 783, 43, -12880, 6300, 12250
217137, 547, 770, 43, -5600, -2870, 11690
217157, 555, 778, 35, 140, -10150, 4620
217177, 573, 811, 40, 140, -9870, -7910
217197, 591, 845, 37, -1050, -7210, -18690
217217, 604, 871, 38, -910, -6020, -18270
217237, 595, 859, 40, -2240, -3990, -3430
217257, 579, 824, 41, -2100, -3220, 12110
217277, 569, 798, 37, 1890, -6020, 16030
217297, 559, 784, 36, 4060, -6860, 10990
217317, 559, 788, 37, 2380, -3640, 2310
217337, 568, 804, 39, 210, -140, -5460
217357, 585, 838, 38, 2240, -1260, -12110
217377, 601, 863, 40, 5460, -3570, -11130
217397, 607, 872, 39, 5740, -2660, 490
217417, 608, 866, 37, 6370, -1610, 10430
217437, 602, 855, 36, 7140, 70, 11480
217457, 587, 839, 39, 6650, 3920, 5880
217477, 563, 807, 43, 4550, 8540, 4480
217497, 552, 782, 43, 5810, 7700, 9100
217517, 546, 766, 39, 9940, 2590, 13790
217537, 547, 771, 37, 11060, 980, 14350
217557, 556, 786, 41, 9310, 2660, 9520
217577, 572, 806, 40, 7420, 4340, 2940
217597, 591, 841, 38, 8960, 1960, -5880
217617, 603, 866, 38, 10640, 280, -11760
217637, 608, 877, 41, 10360, 1540, -8890
217657, 594, 854, 41, 9940, 2380, 2800
217677, 577, 819, 38, 10010, 2170, 17990
217697, 562, 787, 38, 8470, 3780, 23730
217717, 554, 780, 41, 5530, 7140, 15820
217737, 565, 800, 42, 5670, 6580, 910
217757, 583, 835, 40, 8540, 1960, -9520
217777, 601, 863, 34, 10500, -2100, -11830
217797, 602, 867, 39, 8260, -350, -5740
217817, 594, 852, 41, 3150, 5040, 5670
217837, 575, 818, 42, 700, 7070, 14210
217857, 561, 789, 41, 1330, 5250, 16240
217877, 551, 775, 41, 2030, 3290, 10780
217897, 552, 781, 40, 1190, 2730, 1610
217917, 563, 802, 40, 490, 1610, -3990
217937, 581, 825, 39, 70, -210, -4760
217957, 598, 857, 40, -910, -1190, -3430
217977, 606, 869, 40, -1050, -1820, -3290
